Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-01-22,23887.83,23906.79,23680.4,23706.29,424389046
2020-01-23,23716.43,23901.15,23611.2,23707.05,379431071
2020-01-24,23848.46,24083.13,23848.46,23969.13,368586960
2020-01-27,23713.12,23977.56,23384.04,23416.13,506925571
2020-01-28,23544.56,24027.63,23429.19,24027.63,428294635
2020-01-29,24052.97,24197.66,23969.03,24164.73,356515321
2020-01-30,23892.3,23982.66,23687.64,23781.1,454729443
2020-01-31,23863.15,23873.05,23207.9,23237.03,557656637
2020-02-03,23297.09,23466.34,23218.72,23460.01,363184156
2020-02-04,23572.77,23900.76,23542.06,23844.85,479889430
2020-02-05,23815.72,24270.46,23745.98,24236.63,564240960
2020-02-06,24347.99,24513.81,24338.09,24490.35,531888092
2020-02-07,24465.18,24523.42,24371.83,24478.32,411437033
2020-02-10,24437.06,24585.13,24388.88,24507.7,297204431
2020-02-11,24616.66,24762.66,24533.75,24688.89,405685422
2020-02-12,24738.21,24901.59,24734.87,24861.28,462480119
2020-02-13,24769.05,24892.15,24588.46,24892.15,526068029
2020-02-14,24942.1,24983.12,24831.96,24867.01,341383922
2020-02-17,24961.76,25120.54,24903,25120.54,315460034
2020-02-18,24985.71,25389.46,24969.75,25223.51,737036328
2020-02-19,25352.69,25483.05,25271.72,25477.55,464703026
2020-02-20,25414.77,25419.96,25080.16,25080.16,445153932
2020-02-21,24979.32,25129.98,24670.24,24773.15,638705514
2020-02-24,23918.6,24005.21,23255.26,23427.19,977128319
2020-02-25,23585.59,23630.43,23046.19,23090.44,664950840
2020-02-26,22961.01,23599.85,22637.93,23422.54,737756956
2020-02-27,22968.63,23077.82,22479.6,22799.37,781145912
2020-02-28,22058.99,22334.72,21697.94,21984.21,1052025558
2020-03-02,22333.17,22361.13,21118.83,21655.09,924414459
2020-03-03,22116.28,22340.46,21651.36,21748.2,799970691
2020-03-04,21739.8,22204.01,21499.93,21946.03,724365259
2020-03-05,22011.67,22034.94,21362.09,21554.88,772854710
2020-03-06,20986.89,21151.36,20624.42,20799.89,864917486
2020-03-09,20780.87,20780.87,18346.4,18475.91,1272046596
2020-03-10,18653.9,19174.77,17771.88,17870.18,1096966366
2020-03-11,18171.76,18410.29,17674.69,17928.64,916163284
2020-03-12,17654.04,17659.86,14894.44,14894.44,1535614359
2020-03-13,15108.11,17545.44,15106.6,15954.29,1267823870
2020-03-16,15697.47,15699.27,14153.09,14980.34,1218842042
2020-03-17,15420.49,15809.66,14695.72,15314.77,1041111820
2020-03-18,14985.81,15438.23,14791.72,15120.48,796190290
2020-03-19,15417.2,15844.08,15038.08,15466.97,1016984630
2020-03-20,15772.98,16180.17,15616.9,15731.85,1222210580
2020-03-23,15318.26,15788.7,15091.98,15559.8,768024627
2020-03-24,15977.53,16948.6,15969.74,16948.6,847365989
2020-03-25,17246.83,17830.36,16581.76,17243.68,906278779
2020-03-26,16876.51,17369.38,16834.79,17369.38,712229572
2020-03-27,17039.45,17283.44,16666.74,16822.59
