Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-01-22,9622,9632.8,9557,9573.7,164107220
2020-01-23,9549.4,9604.7,9499.3,9518.5,208965867
2020-01-24,9576.8,9639.9,9552.5,9562,236652845
2020-01-27,9447.1,9482.8,9357.8,9366.3,183984093
2020-01-28,9401.8,9488,9363.8,9484.2,173756588
2020-01-29,9532.7,9574.3,9510.7,9546.7,213752905
2020-01-30,9460.8,9528.4,9439.3,9477.9,198325201
2020-01-31,9519.3,9545.1,9365.1,9367.9,323798136
2020-02-03,9404.4,9431.6,9361.5,9404.7,187945217
2020-02-04,9465.9,9577.3,9462.4,9562.9,190563664
2020-02-05,9553.4,9721.9,9540.2,9717.8,332384175
2020-02-06,9767.1,9816.2,9757,9811.3,300890291
2020-02-07,9789.3,9816.2,9761.8,9811,239059254
2020-02-10,9790.6,9820.4,9773.5,9816,157394766
2020-02-11,9863.4,9884,9817.8,9882.6,206919007
2020-02-12,9897.9,9946.6,9888.6,9940.4,226755240
2020-02-13,9893.9,9910.1,9794.3,9909.8,246854880
2020-02-14,9910.9,9969.7,9905.2,9956.8,170036704
2020-02-17,9979.2,10022.2,9955.2,10022.2,112449443
2020-02-18,9977.4,10041.5,9967.8,10005.8,204856634
2020-02-19,10042,10100.2,10020.7,10083.6,175411370
2020-02-20,10048.7,10050.3,9931,9931,215719365
2020-02-21,9893,9946.4,9843.5,9886.2,249232368
2020-02-24,9649.8,9676.8,9459.6,9483.5,297009771
2020-02-25,9507,9518.9,9248,9250.8,307531412
2020-02-26,9213,9362.8,9030.7,9316.8,331490619
2020-02-27,9182.2,9204.4,8877.4,8985.9,381831283
2020-02-28,8748.1,8818.6,8582.7,8723.2,527759930
2020-03-02,8910.2,8913.5,8541.1,8741.5,376704292
2020-03-03,8860.2,9014.3,8776.4,8811.6,492053779
2020-03-04,8827.8,8963.7,8745.9,8910,370162268
2020-03-05,8960.8,8962.5,8639.9,8683,447778969
2020-03-06,8532.6,8542,8310.4,8375.6,411464299
2020-03-09,7884,8022.9,7621.4,7708.7,643096151
2020-03-10,7815.6,8007.7,7440.6,7461.5,540627925
2020-03-11,7589.3,7717.1,7364.6,7436.4,489868829
2020-03-12,7040.8,7077.7,6347,6390.9,809861129
2020-03-13,6763.7,7140.5,6468.3,6629.6,503272213
2020-03-16,6331,6362.5,5814.5,6107.2,690816696
2020-03-17,6444.5,6557.3,6083,6498.5,493241277
2020-03-18,6370.5,6524.2,6174.1,6274.8,430402912
2020-03-19,6368.2,6506.4,6228.3,6395.8,386505039
2020-03-20,6645.4,6769.9,6371.1,6443.3,606567129
2020-03-23,6223.7,6472,6148,6230.2,321423179
2020-03-24,6433.3,6717.3,6403.6,6717.3,352093035
2020-03-25,6985.9,7058.1,6625.8,6942.4,328678222
2020-03-26,6789,7033.2,6759.1,7033.2,276175148
2020-03-27,6916.7,6936.7,6661.9,6777.9,225316499
