Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-01-22,2168.44,2172.76,2144.68,2146.56,27440004
2020-01-23,2144.56,2159.55,2141.62,2148.41,22561743
2020-01-24,2150.57,2166.31,2150.57,2154.28,17630461
2020-01-27,2141.68,2141.68,2083.69,2083.79,20984119
2020-01-28,2089.16,2105.76,2083.54,2098.04,17437951
2020-01-29,2099.3,2114.31,2090.41,2098.18,25644144
2020-01-30,2078.74,2093.68,2064.09,2079.98,23189128
2020-01-31,2085.41,2087.93,2052.68,2065.9,38290087
2020-02-03,2062.33,2077.58,2050.91,2072.88,25394120
2020-02-04,2082.19,2115.25,2081.81,2106.63,32249751
2020-02-05,2106.64,2133.91,2102.45,2122.91,21929283
2020-02-06,2128.24,2138.87,2105.59,2111.76,23411969
2020-02-07,2107.43,2110.2,2092.36,2110.2,18963173
2020-02-10,2108.67,2112.78,2087.72,2092.89,16134600
2020-02-11,2099.2,2114.89,2094.39,2107.4,21356120
2020-02-12,2120.01,2132.78,2115.92,2126.31,21380076
2020-02-13,2125.22,2125.22,2096.14,2120.07,19110037
2020-02-14,2126.64,2131.28,2111.22,2115.29,20893159
2020-02-17,2125.14,2131.6,2117.45,2121.14,14217981
2020-02-18,2112.15,2118.48,2103.76,2113.49,13882294
2020-02-19,2116.32,2122.67,2097.07,2115.18,21465468
2020-02-20,2115.39,2116.08,2098.12,2099.88,20482243
2020-02-21,2095.8,2106.18,2084.55,2088.53,16533483
2020-02-24,2070.66,2070.66,1997.84,2000.9,25032229
2020-02-25,2000.65,2007.34,1945.71,1945.71,32357249
2020-02-26,1942.66,1957.64,1906.06,1933.51,33550737
2020-02-27,1926.15,1927.44,1833.92,1850.61,33425936
2020-02-28,1817.79,1817.79,1735.37,1768.91,70088832
2020-03-02,1807.25,1840.57,1765.43,1807.7,40207534
2020-03-03,1827.36,1906.87,1827.36,1889.67,39063455
2020-03-04,1882.71,1894.23,1857.9,1860.95,28135069
2020-03-05,1879.11,1893.88,1822.76,1822.85,25502227
2020-03-06,1808.36,1808.36,1749.7,1764.81,34436845
2020-03-09,1685.28,1697.38,1609.08,1625.99,40494707
2020-03-10,1643.34,1657.09,1594.07,1599.48,39334266
2020-03-11,1607.3,1616.03,1495.87,1505.64,44940270
2020-03-12,1450.71,1450.71,1305.73,1305.73,57193099
2020-03-13,1334.37,1442.72,1315.96,1365.97,74136137
2020-03-16,1342.4,1356.01,1248.77,1341.54,64568981
2020-03-17,1370.79,1446.74,1355.07,1429.28,81569696
2020-03-18,1425.27,1465.58,1376.75,1401.29,78265426
2020-03-19,1406.71,1469.43,1386.83,1469.43,51612015
2020-03-20,1502.14,1547.74,1476.65,1488.42,109516157
2020-03-23,1461.22,1463.93,1400.71,1405.45,43978401
2020-03-24,1449.34,1473.02,1424.14,1451.02,37402637
2020-03-25,1487.75,1505.79,1413.22,1441.83,47382329
2020-03-26,1431.53,1492.87,1410.91,1492.01,36791461
2020-03-27,1494.31,1499.62,1465.48,1475.9,32982551
